Statistic,Per 90,Percentile
Goals,0.93,99
Assists,0.57,97
Non-Penalty Goals,0.86,99
Penalty Kicks Made,0.07,88
Penalty Kicks Attempted,0.07,83
Yellow Cards,0.07,65
Red Cards,0,50
,,
xG,0.61,99
npxG,0.56,97
xA,0.41,99
npxG+xA,0.98,99
Goals,0.93,99
Shots Total,4,99
Shots on target,1.79,99
Shots on target %,44.60%,81
Goals/Shot,0.21,93
Goals/Shot on target,0.48,88
Average Shot Distance,14.9,82
Shots from free kicks,0.07,58
Penalty Kicks Made,0.07,88
Penalty Kicks Attempted,0.07,83
,,
xG,0.61,99
npxG,0.56,97
npxG/Sh,0.14,86
Goals - xG,+0.31,99
Non-Penalty Goals - npxG,+0.29,99
Passes Completed,27.86,67
Passes Attempted,35.14,53
Pass Completion %,79.30%,74
Total Passing Distance,391.36,35
Progressive Passing Distance,116.5,58
,,
Passes Completed (Short),17.71,81
Passes Attempted (Short),20.36,81
Pass Completion % (Short),87.00%,69
,,
Passes Completed (Medium),8.43,42
Passes Attempted (Medium),10.29,35
Pass Completion % (Medium),81.90%,69
,,
Passes Completed (Long),1.07,10
Passes Attempted (Long),2.57,17
Pass Completion % (Long),41.70%,24
Assists,0.57,97
xA,0.41,99
Key Passes,1.93,78
Passes into Final Third,0.93,19
Passes into Penalty Area,2,78
Crosses into Penalty Area,0.21,35
Progressive Passes,4.29,83
Passes Attempted,35.14,53
,,
Live-ball passes,34.86,72
Dead-ball passes,0.29,8
Passes from Free Kicks,0,15
Through Balls,0.57,99
Passes Under Pressure,6.07,17
Switches,0.43,22
Crosses,1.5,24
Corner Kicks,0.07,40
,,
Inswinging Corner Kicks,0.07,44
Outswinging Corner Kicks,0,28
Straight Corner Kicks,0,40
,,
Ground passes,26.43,65
Low Passes,5,76
High Passes,3.71,28
,,
Passes Attempted (Left),28.14,85
Passes Attempted (Right),5.21,17
Passes Attempted (Head),1,65
Throw-Ins taken,0,8
Passes Attempted (Other),0.43,78
,,
Passes Completed,27.86,67
Passes Offside,0.14,40
Passes Out of Bounds,0.64,35
Passes Intercepted,1.86,33
Passes Blocked,1,85
Shot-Creating Actions,4.07,83
,,
SCA (PassLive),2.93,88
SCA (PassDead),0,26
SCA (Drib),0.57,94
SCA (Sh),0.5,94
SCA (Fld),0.07,26
SCA (Def),0,32
,,
Goal-Creating Actions,1.21,99
,,
GCA (PassLive),0.71,99
GCA (PassDead),0,40
GCA (Drib),0.36,99
GCA (Sh),0.14,92
GCA (Fld),0,42
GCA (Def),0,49
Tackles,0.5,8
Tackles Won,0.21,6
Tackles (Def 3rd),0.21,24
Tackles (Mid 3rd),0.14,6
Tackles (Att 3rd),0.14,22
,,
Dribblers Tackled,0.14,17
Dribbles Contested,0.57,13
% of dribblers tackled,25.00%,38
Dribbled Past,0.43,90
,,
Pressures,14.21,33
Successful Pressures,3.93,42
Successful Pressure %,27.60%,56
Pressures (Def 3rd),2.43,17
Pressures (Mid 3rd),3.93,6
Pressures (Att 3rd),7.86,97
,,
Blocks,0.21,1
Shots Blocked,0,26
Shots Saved,0,49
Passes Blocked,0.21,1
,,
Interceptions,0.29,1
Tkl+Int,0.79,1
Clearances,0.14,15
Errors,0,55
Touches,48.71,58
Touches (Def Pen),0.14,3
Touches (Def 3rd),2.14,1
Touches (Mid 3rd),17.43,19
Touches (Att 3rd),32.29,92
Touches (Att Pen),9.36,97
Touches (Live-Ball),48.29,65
,,
Dribbles Completed,1.79,65
Dribbles Attempted,4.07,81
Successful Dribble %,43.90%,19
Players Dribbled Past,2.14,74
Nutmegs,0.07,28
,,
Carries,36.07,58
Total Carrying Distance,162,15
Progressive Carrying Distance,105.36,38
Progressive Carries,6.86,65
Carries into Final Third,1.36,17
Carries into Penalty Area,2.36,94
Miscontrols,2.64,24
Dispossessed,2.14,44
,,
Pass Targets,62.57,97
Passes Received,40.86,81
Passes Received %,65.30%,3
Progressive Passes Rec,11.21,97
Yellow Cards,0.07,65
Red Cards,0,50
Second Yellow Card,0,50
Fouls Committed,0.43,88
Fouls Drawn,0.79,13
Offsides,0.64,10
Crosses,1.5,24
,,
Interceptions,0.29,1
Tackles Won,0.21,6
Penalty Kicks Won,0,47
Penalty Kicks Conceded,0,52
Own Goals,0,50
Ball Recoveries,5.07,17
,,
Aerials won,0.36,15
Aerials lost,1.79,31
% of Aerials Won,16.70%,7
